y,x,street_count,highway,ref,junction,geometry
25.0649244,121.6085158,3,motorway_junction,15,,POINT (121.6085158 25.0649244)
25.0649687,121.6110022,3,traffic_signals,,,POINT (121.6110022 25.0649687)
25.0424663,121.612282,1,,,,POINT (121.612282 25.0424663)
25.022201,121.5331726,4,traffic_signals,,,POINT (121.5331726 25.022201)
25.0173422,121.5640648,3,,,,POINT (121.5640648 25.0173422)
25.0120262,121.5789477,3,,,,POINT (121.5789477 25.0120262)
25.0069963,121.5897525,3,,,,POINT (121.5897525 25.0069963)
24.9802142,121.5549022,5,traffic_signals,,,POINT (121.5549022 24.9802142)
24.9800471,121.5539861,3,traffic_signals,,,POINT (121.5539861 24.9800471)
24.9777088,121.5558942,1,,,,POINT (121.5558942 24.9777088)
25.0151151,121.532225,3,traffic_signals,,,POINT (121.532225 25.0151151)
25.0218741,121.5292177,1,,,,POINT (121.5292177 25.0218741)
25.041799,121.500854,4,traffic_signals,,,POINT (121.500854 25.041799)
25.040966,121.5007403,4,traffic_signals,,,POINT (121.5007403 25.040966)
25.0404874,121.5017817,3,,,,POINT (121.5017817 25.0404874)
25.0405295,121.501986,2,,,,POINT (121.501986 25.0405295)
25.0392339,121.5075143,4,traffic_signals,,,POINT (121.5075143 25.0392339)
25.0188336,121.5936673,3,,,,POINT (121.5936673 25.0188336)
25.0191056,121.5945829,3,,,,POINT (121.5945829 25.0191056)
25.0198222,121.5966128,3,,,,POINT (121.5966128 25.0198222)
25.0376417,121.6248828,3,,,,POINT (121.6248828 25.0376417)
25.0344521,121.6350783,3,,,,POINT (121.6350783 25.0344521)
24.9916875,121.5711137,5,,,,POINT (121.5711137 24.9916875)
24.988749,121.5676673,3,,,,POINT (121.5676673 24.988749)
25.0202671,121.5412461,1,,,,POINT (121.5412461 25.0202671)
25.0185039,121.5412768,3,,,,POINT (121.5412768 25.0185039)
25.0184903,121.5431645,1,,,,POINT (121.5431645 25.0184903)
25.0132,121.5394305,3,traffic_signals,,,POINT (121.5394305 25.0132)
25.0210394,121.54329,3,traffic_signals,,,POINT (121.54329 25.0210394)
25.0392238,121.5076244,4,traffic_signals,,,POINT (121.5076244 25.0392238)
25.0374887,121.5068464,6,traffic_signals,,,POINT (121.5068464 25.0374887)
25.0282029,121.4951765,3,traffic_signals,,,POINT (121.4951765 25.0282029)
25.0262265,121.513921,4,traffic_signals,,,POINT (121.513921 25.0262265)
24.9952861,121.571041,3,,,,POINT (121.571041 24.9952861)
24.9994139,121.569048,3,,,,POINT (121.569048 24.9994139)
25.0014579,121.5656279,3,traffic_signals,,,POINT (121.5656279 25.0014579)
25.0057577,121.5588025,3,traffic_signals,,,POINT (121.5588025 25.0057577)
25.0054508,121.5644018,3,,,,POINT (121.5644018 25.0054508)
25.0034717,121.5628489,4,traffic_signals,,,POINT (121.5628489 25.0034717)
25.1259977,121.4700836,3,traffic_signals,,,POINT (121.4700836 25.1259977)
25.1307986,121.5020158,3,traffic_signals,,,POINT (121.5020158 25.1307986)
25.0897674,121.522763,4,traffic_signals,,,POINT (121.522763 25.0897674)
25.0822626,121.5197949,3,,,,POINT (121.5197949 25.0822626)
25.0902701,121.5270258,3,traffic_signals,,,POINT (121.5270258 25.0902701)
25.1266231,121.465977,3,traffic_signals,,,POINT (121.465977 25.1266231)
24.9966379,121.5517507,3,,,,POINT (121.5517507 24.9966379)
24.9878397,121.5523039,4,traffic_signals,,,POINT (121.5523039 24.9878397)
24.9848851,121.5542006,3,traffic_signals,,,POINT (121.5542006 24.9848851)
24.9832223,121.5540391,3,traffic_signals,,,POINT (121.5540391 24.9832223)
24.981316,121.5536363,3,,,,POINT (121.5536363 24.981316)
