osmid,y,x,street_count,highway,ref,railway,geometry
251801465,39.5725769,2.6403683,4,traffic_signals,,,POINT (2.6403683 39.5725769)
251801467,39.5715675,2.6399782,3,,,,POINT (2.6399782 39.5715675)
251801469,39.5706709,2.6396097,3,,,,POINT (2.6396097 39.5706709)
251801470,39.572313,2.6415265,3,traffic_signals,,,POINT (2.6415265 39.572313)
251801471,39.5718728,2.6401018,3,,,,POINT (2.6401018 39.5718728)
251801474,39.5716711,2.6413897,3,,,,POINT (2.6413897 39.5716711)
251801497,39.5711694,2.6348163,5,,,,POINT (2.6348163 39.5711694)
252002192,39.5688929,2.6460211,3,,,,POINT (2.6460211 39.5688929)
252002193,39.568139,2.6455446,3,,,,POINT (2.6455446 39.568139)
252002195,39.5674874,2.6450768,3,,,,POINT (2.6450768 39.5674874)
252002269,39.5679494,2.6460381,3,crossing,,,POINT (2.6460381 39.5679494)
252002328,39.5681774,2.6455631,3,,,,POINT (2.6455631 39.5681774)
252003004,39.5690025,2.6454929,3,,,,POINT (2.6454929 39.5690025)
252003005,39.5690675,2.6451509,4,,,,POINT (2.6451509 39.5690675)
252003007,39.5694386,2.6441378,4,,,,POINT (2.6441378 39.5694386)
252003753,39.5693782,2.6432713,4,,,,POINT (2.6432713 39.5693782)
252003821,39.5677857,2.6452686,3,,,,POINT (2.6452686 39.5677857)
252003848,39.5680159,2.6454489,3,,,,POINT (2.6454489 39.5680159)
252003850,39.5680413,2.6447174,1,,,,POINT (2.6447174 39.5680413)
252004710,39.5699301,2.646448,3,,,,POINT (2.646448 39.5699301)
252004712,39.5703886,2.6453825,3,,,,POINT (2.6453825 39.5703886)
252004720,39.5692638,2.6432161,1,,,,POINT (2.6432161 39.5692638)
252005002,39.5693984,2.6452771,3,,,,POINT (2.6452771 39.5693984)
252005006,39.5696982,2.6451911,4,,,,POINT (2.6451911 39.5696982)
252005060,39.5697812,2.645587,3,,,,POINT (2.645587 39.5697812)
252005061,39.5696792,2.6458479,3,,,,POINT (2.6458479 39.5696792)
252005062,39.5695108,2.6463384,3,,,,POINT (2.6463384 39.5695108)
252005552,39.5709126,2.6440283,4,,,,POINT (2.6440283 39.5709126)
252007347,39.5706676,2.6429467,4,,,,POINT (2.6429467 39.5706676)
252007351,39.5705826,2.6436255,3,,,,POINT (2.6436255 39.5705826)
252007360,39.5706241,2.6420354,3,,,,POINT (2.6420354 39.5706241)
252008148,39.5719452,2.6421671,3,,,,POINT (2.6421671 39.5719452)
252008212,39.5717737,2.6435043,3,,,,POINT (2.6435043 39.5717737)
252008266,39.5721019,2.6448076,4,,,,POINT (2.6448076 39.5721019)
252306356,39.5879418,2.7741074,3,,,,POINT (2.7741074 39.5879418)
252306394,39.5788604,2.7132685,3,,,,POINT (2.7132685 39.5788604)
254953365,39.5786836,2.7088859,3,,,,POINT (2.7088859 39.5786836)
254953375,39.5742967,2.6857474,3,,,,POINT (2.6857474 39.5742967)
254954004,39.5711632,2.7373187,3,,,,POINT (2.7373187 39.5711632)
254954006,39.571092,2.7432259,3,,,,POINT (2.7432259 39.571092)
254954010,39.5693419,2.7512674,3,,,,POINT (2.7512674 39.5693419)
254956137,39.5691968,2.6313962,4,,,,POINT (2.6313962 39.5691968)
254956144,39.5633994,2.6258143,3,,,,POINT (2.6258143 39.5633994)
254956145,39.5619263,2.625209,3,,,,POINT (2.625209 39.5619263)
254956149,39.5577176,2.6228475,3,,,,POINT (2.6228475 39.5577176)
254956153,39.5531177,2.6223521,4,,,,POINT (2.6223521 39.5531177)
254956286,39.5521551,2.6135437,3,,,,POINT (2.6135437 39.5521551)
257737560,39.5768319,2.7002135,3,,,,POINT (2.7002135 39.5768319)
257737580,39.5925323,2.6442026,4,,,,POINT (2.6442026 39.5925323)
257737583,39.5938396,2.6542151,4,traffic_signals,,,POINT (2.6542151 39.5938396)
259186971,39.5957613,2.6886679,3,traffic_signals,,,POINT (2.6886679 39.5957613)
259187076,39.5935423,2.6841574,5,,,,POINT (2.6841574 39.5935423)
259187077,39.5946887,2.6861686,4,,,,POINT (2.6861686 39.5946887)
259187081,39.5784957,2.6589133,4,,,,POINT (2.6589133 39.5784957)
259187089,39.5735193,2.660759,3,,,,POINT (2.660759 39.5735193)
259187122,39.5728643,2.6609427,2,,,,POINT (2.6609427 39.5728643)
259187123,39.5715227,2.6613394,4,,,,POINT (2.6613394 39.5715227)
259187325,39.5649668,2.6589346,3,,,,POINT (2.6589346 39.5649668)
259187326,39.5654484,2.6613163,3,,,,POINT (2.6613163 39.5654484)
259187327,39.5650513,2.6611296,4,,,,POINT (2.6611296 39.5650513)
259187328,39.5655105,2.6591381,3,,,,POINT (2.6591381 39.5655105)
259187329,39.566713,2.6595882,4,,,,POINT (2.6595882 39.566713)
259252837,39.5847748,2.651392,3,,,,POINT (2.651392 39.5847748)
259252839,39.5855874,2.6510976,3,,,,POINT (2.6510976 39.5855874)
259252843,39.5873405,2.6531254,3,,,,POINT (2.6531254 39.5873405)
259252845,39.5869437,2.6506061,4,,,,POINT (2.6506061 39.5869437)
259252853,39.5974256,2.6476491,3,,,,POINT (2.6476491 39.5974256)
259252860,39.5973503,2.6470973,3,,,,POINT (2.6470973 39.5973503)
259252869,39.5959155,2.6471674,3,,,,POINT (2.6471674 39.5959155)
259252870,39.5958897,2.6472003,3,,,,POINT (2.6472003 39.5958897)
259252880,39.5946102,2.6473046,3,,,,POINT (2.6473046 39.5946102)
259252882,39.5945392,2.6472472,3,,,,POINT (2.6472472 39.5945392)
259252884,39.5943515,2.6473158,3,,,,POINT (2.6473158 39.5943515)
259252890,39.5943213,2.6473826,3,,,,POINT (2.6473826 39.5943213)
259252892,39.5931115,2.6478473,4,traffic_signals,,,POINT (2.6478473 39.5931115)
259252895,39.589042,2.6498053,4,,,,POINT (2.6498053 39.589042)
259252897,39.5949418,2.8015373,3,,,,POINT (2.8015373 39.5949418)
259476826,39.5815504,2.6952402,3,,,,POINT (2.6952402 39.5815504)
259476828,39.5759134,2.6963375,3,,,,POINT (2.6963375 39.5759134)
259664657,39.5684732,2.7111003,3,,,,POINT (2.7111003 39.5684732)
259664741,39.5686485,2.710043,4,,,,POINT (2.710043 39.5686485)
259664742,39.5682118,2.7100327,3,,,,POINT (2.7100327 39.5682118)
259665049,39.5754056,2.7099791,3,motorway_junction,3,,POINT (2.7099791 39.5754056)
259665364,39.5904588,2.712845,3,,,,POINT (2.712845 39.5904588)
