osmid,y,x,street_count,highway,ref,junction,railway,geometry
273117935,52.4589879,13.156143,4,,,,,POINT (13.156143 52.4589879)
273117951,52.4584048,13.155889,1,,,,,POINT (13.155889 52.4584048)
273118161,52.5729739,13.4079682,3,,,,,POINT (13.4079682 52.5729739)
273120732,52.4685177,13.1740915,3,,,,,POINT (13.1740915 52.4685177)
273120747,52.4698,13.1708906,3,,,,,POINT (13.1708906 52.4698)
273120753,52.4716922,13.1731674,3,,,,,POINT (13.1731674 52.4716922)
273120754,52.4718948,13.1734183,3,,,,,POINT (13.1734183 52.4718948)
273120755,52.4720609,13.1737182,3,,,,,POINT (13.1737182 52.4720609)
273120765,52.4738847,13.1759923,3,,,,,POINT (13.1759923 52.4738847)
273120766,52.4719181,13.1728675,3,,,,,POINT (13.1728675 52.4719181)
273120772,52.4717766,13.1753668,4,,,,,POINT (13.1753668 52.4717766)
273120775,52.4712192,13.1799077,3,,,,,POINT (13.1799077 52.4712192)
273120776,52.4702736,13.1732547,1,,,,,POINT (13.1732547 52.4702736)
273120797,52.4727667,13.1764619,3,,,,,POINT (13.1764619 52.4727667)
273120798,52.4734812,13.1772138,3,,,,,POINT (13.1772138 52.4734812)
273120804,52.4703052,13.1788829,1,,,,,POINT (13.1788829 52.4703052)
273120825,52.4736528,13.176571,3,,,,,POINT (13.176571 52.4736528)
273120835,52.4741516,13.1817055,3,,,,,POINT (13.1817055 52.4741516)
273120836,52.4756939,13.1815329,1,,,,,POINT (13.1815329 52.4756939)
273120839,52.4745416,13.1775161,3,,,,,POINT (13.1775161 52.4745416)
273428199,52.5267072,13.2076679,5,,,,,POINT (13.2076679 52.5267072)
273445080,52.5125212,13.2111469,3,,,,,POINT (13.2111469 52.5125212)
273445087,52.5106467,13.2087554,4,,,,,POINT (13.2087554 52.5106467)
273445089,52.5089417,13.2075772,1,,,,,POINT (13.2075772 52.5089417)
273462430,52.4572713,13.4992055,3,,,,,POINT (13.4992055 52.4572713)
273462734,52.4548424,13.504212,3,,,,,POINT (13.504212 52.4548424)
273463204,52.4553241,13.5053084,1,,,,,POINT (13.5053084 52.4553241)
