y,x,street_count,highway,railway,ref,junction,geometry
41.8807688,12.4950911,3,,,,,POINT (12.4950911 41.8807688)
41.8891593,12.4929289,3,,,,,POINT (12.4929289 41.8891593)
41.8892569,12.4952807,4,,,,,POINT (12.4952807 41.8892569)
41.8889969,12.4966545,4,,,,,POINT (12.4966545 41.8889969)
41.8872449,12.5022917,3,,,,,POINT (12.5022917 41.8872449)
41.8887329,12.4979564,4,,,,,POINT (12.4979564 41.8887329)
41.877648,12.4842435,3,,,,,POINT (12.4842435 41.877648)
41.8781428,12.485073,3,,,,,POINT (12.485073 41.8781428)
41.8782217,12.4836256,1,,,,,POINT (12.4836256 41.8782217)
41.8835378,12.4882377,3,,,,,POINT (12.4882377 41.8835378)
41.8770041,12.4819134,3,,,,,POINT (12.4819134 41.8770041)
41.8846086,12.4897922,3,,,,,POINT (12.4897922 41.8846086)
41.8839282,12.4901439,3,,,,,POINT (12.4901439 41.8839282)
41.8824744,12.4904507,3,,,,,POINT (12.4904507 41.8824744)
41.8792172,12.4898424,3,,,,,POINT (12.4898424 41.8792172)
41.8787004,12.4900493,3,,,,,POINT (12.4900493 41.8787004)
41.8765278,12.493202,3,,,,,POINT (12.493202 41.8765278)
41.8872756,12.5033048,3,,,,,POINT (12.5033048 41.8872756)
41.8877768,12.4947632,3,,,,,POINT (12.4947632 41.8877768)
41.8861566,12.4951668,3,,,,,POINT (12.4951668 41.8861566)
41.8878649,12.4943104,3,,,,,POINT (12.4943104 41.8878649)
41.9021076,12.5308811,3,,,,,POINT (12.5308811 41.9021076)
41.901548,12.5305427,3,motorway_junction,,,,POINT (12.5305427 41.901548)
41.9000527,12.5290824,3,motorway_junction,,,,POINT (12.5290824 41.9000527)
41.8973789,12.5195661,3,,,,,POINT (12.5195661 41.8973789)
41.8999083,12.5172329,3,,,,,POINT (12.5172329 41.8999083)
41.9019099,12.5183645,3,,,,,POINT (12.5183645 41.9019099)
41.8872326,12.4976993,1,,,,,POINT (12.4976993 41.8872326)
41.990464,12.509835,3,,,,,POINT (12.509835 41.990464)
41.9858489,12.5255552,3,,,,,POINT (12.5255552 41.9858489)
41.9851129,12.522139,3,,,,,POINT (12.522139 41.9851129)
41.983944,12.5284592,3,,,,,POINT (12.5284592 41.983944)
41.9820534,12.5268192,3,motorway_junction,,10,,POINT (12.5268192 41.9820534)
42.0182387,12.5298776,3,motorway_junction,,,,POINT (12.5298776 42.0182387)
41.9281133,12.7450222,3,,,,,POINT (12.7450222 41.9281133)
41.9275264,12.7466824,3,,,,,POINT (12.7466824 41.9275264)
41.9238386,12.7431733,3,,,,,POINT (12.7431733 41.9238386)
