osmid,y,x,street_count,highway,ref,railway,junction,geometry
48077785,50.112244,8.5418634,3,,,,,POINT (8.5418634 50.112244)
48077790,50.1124806,8.5423684,1,,,,,POINT (8.5423684 50.1124806)
48077799,50.1115428,8.5404984,1,,,,,POINT (8.5404984 50.1115428)
48092240,50.1070793,8.5475947,3,,,,,POINT (8.5475947 50.1070793)
48092645,50.1058178,8.5459106,3,,,,,POINT (8.5459106 50.1058178)
48092691,50.1068813,8.5482285,3,,,,,POINT (8.5482285 50.1068813)
48092726,50.1057695,8.5474908,3,,,,,POINT (8.5474908 50.1057695)
48092746,50.1053961,8.5488332,3,,,,,POINT (8.5488332 50.1053961)
48092763,50.1046749,8.5482228,4,,,,,POINT (8.5482228 50.1046749)
48092914,50.10535,8.5467529,3,,,,,POINT (8.5467529 50.10535)
48093119,50.1051491,8.5463486,3,,,,,POINT (8.5463486 50.1051491)
48093286,50.1057596,8.5495708,1,,,,,POINT (8.5495708 50.1057596)
48093306,50.1063534,8.5499575,3,,,,,POINT (8.5499575 50.1063534)
48093348,50.1065027,8.5525951,3,,,,,POINT (8.5525951 50.1065027)
48093364,50.1079582,8.5530965,1,turning_circle,,,,POINT (8.5530965 50.1079582)
48094881,50.1115871,8.5606299,1,,,,,POINT (8.5606299 50.1115871)
48102872,50.1178911,8.6069938,1,,,,,POINT (8.6069938 50.1178911)
51425686,50.1486015,8.7227628,2,,,,,POINT (8.7227628 50.1486015)
51431090,50.1513696,8.7400158,1,,,,,POINT (8.7400158 50.1513696)
51440389,50.1525148,8.7649284,1,,,,,POINT (8.7649284 50.1525148)
51440414,50.1524354,8.7632111,3,,,,,POINT (8.7632111 50.1524354)
51442043,50.1437267,8.6910669,3,,,,,POINT (8.6910669 50.1437267)
51454025,50.1625035,8.6594055,1,,,,,POINT (8.6594055 50.1625035)
51454027,50.162475,8.6585411,3,,,,,POINT (8.6585411 50.162475)
51454028,50.1630426,8.6589219,1,,,,,POINT (8.6589219 50.1630426)
51468549,50.1655739,8.6427912,3,,,,,POINT (8.6427912 50.1655739)
51468552,50.1660706,8.6416192,3,,,,,POINT (8.6416192 50.1660706)
51468553,50.1655892,8.6410256,1,,,,,POINT (8.6410256 50.1655892)
51468558,50.1657979,8.6422081,3,,,,,POINT (8.6422081 50.1657979)
52057657,50.1289421,8.6725183,3,,,,,POINT (8.6725183 50.1289421)
52057663,50.1288212,8.6717841,1,,,,,POINT (8.6717841 50.1288212)
52070904,50.1060774,8.6412917,3,,,,,POINT (8.6412917 50.1060774)
52070910,50.1044813,8.6388437,4,,,,,POINT (8.6388437 50.1044813)
52070914,50.1041551,8.6358479,4,,,,,POINT (8.6358479 50.1041551)
52070919,50.1038506,8.6329513,4,,,,,POINT (8.6329513 50.1038506)
52070923,50.1036057,8.6308283,3,,,,,POINT (8.6308283 50.1036057)
52070927,50.1033432,8.628218,4,,,,,POINT (8.628218 50.1033432)
52070930,50.1030878,8.6259127,4,,,,,POINT (8.6259127 50.1030878)
52070940,50.1029193,8.6262332,4,,,,,POINT (8.6262332 50.1029193)
52070945,50.1045647,8.6232723,3,,,,,POINT (8.6232723 50.1045647)
52073499,50.1060479,8.640372,3,,,,,POINT (8.640372 50.1060479)
52073501,50.1076724,8.6401963,3,,,,,POINT (8.6401963 50.1076724)
52073504,50.1074539,8.6352891,3,,,,,POINT (8.6352891 50.1074539)
52073507,50.1024758,8.6377872,3,,,,,POINT (8.6377872 50.1024758)
52073510,50.1043177,8.637348,3,,,,,POINT (8.637348 50.1043177)
52073513,50.1043755,8.6378521,3,,,,,POINT (8.6378521 50.1043755)
52073517,50.1042609,8.6368483,3,,,,,POINT (8.6368483 50.1042609)
52073520,50.1058564,8.6364311,3,,,,,POINT (8.6364311 50.1058564)
52073524,50.1039522,8.6359173,4,,,,,POINT (8.6359173 50.1039522)
52073529,50.1058345,8.6354621,4,mini_roundabout,,,,POINT (8.6354621 50.1058345)
