osmid,highway,lanes,maxspeed,name,oneway,width,reversed,length,geometry,ref,access,bridge,junction,tunnel,area
31585880,residential,,RO:urban,Strada Cernei,True,,False,51.01083541921106,"LINESTRING (23.6231309 46.7831257, 23.6228327 46.7835365)",,,,,,
411062202,residential,,RO:urban,Strada Cernei,False,,False,52.43073471922565,"LINESTRING (23.6231309 46.7831257, 23.6234879 46.7827225)",,,,,,
800357227,tertiary,2,RO:urban,Strada Fabricii de Zahăr,False,,False,107.2668317479501,"LINESTRING (23.6231309 46.7831257, 23.623403 46.7832483, 23.6236446 46.783362, 23.6237526 46.7834179, 23.6239797 46.7835541, 23.6241119 46.7836444, 23.6242294 46.7837246)",,,,,,
800357227,tertiary,2,RO:urban,Strada Fabricii de Zahăr,False,,True,78.14681510486417,"LINESTRING (23.6231309 46.7831257, 23.6229537 46.7830646, 23.6227365 46.7830031, 23.6224146 46.7829195, 23.6221774 46.7828685)",,,,,,
800357226,residential,1,RO:urban,Strada Teleorman,True,,False,93.11661406057824,"LINESTRING (23.6246161 46.7824009, 23.6250745 46.7825191, 23.6257767 46.7826633)",,,,,,
31585940,residential,2,RO:urban,Strada Răsăritului,False,,False,79.09968543030304,"LINESTRING (23.6220443 46.7845131, 23.6214983 46.7845354, 23.6214325 46.7845293, 23.6212356 46.7844891, 23.621112 46.7844592, 23.6210896 46.7844538, 23.6210449 46.7844213)",,,,,,
31585940,residential,2,RO:urban,Strada Răsăritului,False,,True,239.93146505307638,"LINESTRING (23.6220443 46.7845131, 23.6244619 46.7843932, 23.6249218 46.78437, 23.6251864 46.7843507)",,,,,,
31585882,residential,,RO:urban,Strada Cernei,False,,False,130.4972686645992,"LINESTRING (23.6242294 46.7837246, 23.6239395 46.7839416, 23.6238848 46.7839588, 23.6238241 46.7839517, 23.6234808 46.7838066, 23.6229591 46.7835807, 23.6228327 46.7835365)",,,,,,
800357227,tertiary,2,RO:urban,Strada Fabricii de Zahăr,False,,False,53.23518378804653,"LINESTRING (23.6242294 46.7837246, 23.624652 46.7840164, 23.6247195 46.784066)",,,,,,
800357227,tertiary,2,RO:urban,Strada Fabricii de Zahăr,False,,True,107.26683174795012,"LINESTRING (23.6242294 46.7837246, 23.6241119 46.7836444, 23.6239797 46.7835541, 23.6237526 46.7834179, 23.6236446 46.783362, 23.623403 46.7832483, 23.6231309 46.7831257)",,,,,,
31585880,residential,,RO:urban,Strada Cernei,True,,False,124.08116230095865,"LINESTRING (23.6228327 46.7835365, 23.6227139 46.7836861, 23.6220443 46.7845131)",,,,,,
